track_id,track,album,release_year,artists,popularity,genre,year_range
,Good Love (feat. Billy F Gibbons),Dropout Boogie,2022,"The Black Keys, Billy F Gibbons",44,blues,2020-2024
,Goin' Crazy,Goin' Crazy,2024,PAPA | PEET,47,blues,2020-2024
,3Am in Chicago,Little Black Flies,2021,Eddie 9V,47,blues,2020-2024
,"Jealous Guy - Live at The Forum, Melbourne, Australia / 2019",Live At The Forum,2020,The Teskey Brothers,39,blues,2020-2024
,Every Chance I Get (I Want You In The Flesh),Every Chance I Get (I Want You In The Flesh),2023,Dan Auerbach,45,blues,2020-2024
,MC Brady,Dark Songs,2020,Steinar Ytrehus,40,blues,2020-2024
,Gambling with Love,Keep It Simple,2022,Boaz,35,blues,2020-2024
,Medicine Man - Acoustic,Medicine Man (Acoustic),2020,Elles Bailey,41,blues,2020-2024
,Help Somebody (MWS Sessions),Help Somebody,2020,Elles Bailey,41,blues,2020-2024
,Crying Rain Blues,Crying Rain Blues,2021,OdinMann,42,blues,2020-2024
,Ten Cent Pistol,Brothers (Deluxe Remastered Anniversary Edition),2020,The Black Keys,41,blues,2020-2024
,No Water No Wine,Keepin On,2023,"Lost in Blues, Sime Tunes, Blues Whiskey, Night Tunes",47,blues,2020-2024
,Cocaine,Cocaine,2022,Joe Robinson,41,blues,2020-2024
,Truth Be Told,Unleash,2023,Cam Cole,46,blues,2020-2024
,Sweet Love (Unplugged),Sweet Love (Unplugged),2024,The Vintage Explosion,43,blues,2020-2024
,I Won't Never Go,Whiskey Blues,2023,"Gary Tunes, Eric Blues, Red Whiskey, Ricardo Tunes",43,blues,2020-2024
,Got No More Time,Got No More Time,2023,"Lost in Blues, Sime Tunes, Blues Whiskey, Night Tunes",49,blues,2020-2024
,1975,1975,2024,Malted Milk,41,blues,2020-2024
,Only Love Matters,Ohio Players,2024,The Black Keys,41,blues,2020-2024
,Till There Was You,True Genius,2021,Ray Charles,42,blues,2020-2024
,Hurricane,Hurricane,2024,"Tom Rhodes, Colin Coppola",40,blues,2020-2024
,Moon River,Meanwhile,2024,"Eric Clapton, Jeff Beck",40,blues,2020-2024
,Highway Blues,Highway Blues,2024,Noah Beatz,39,blues,2020-2024
,Purple Candles,Purple Candles,2023,Dimitris Loizos,43,blues,2020-2024
,Rollin' On,Love Transcends,2021,Jackie Venson,43,blues,2020-2024
,Get Back To The Land,Get Back To The Land,2022,"The Teskey Brothers, Emma Donovan",38,blues,2020-2024
,Somewhere,Tommy Castro Presents A Bluesman Came To Town,2021,Tommy Castro,39,blues,2020-2024
,When Words Are Not Enough - Studio Version,Back to the Blues,2024,Dimitris Loizos,42,blues,2020-2024
,Country Boy,Sharecropper's Son,2021,Robert Finley,37,blues,2020-2024
,Somethin' About the Smell,part 1,2024,Nathan Bess,57,blues,2020-2024
,Push The Blues Away,Push The Blues Away,2020,"Ash Grunwald, Josh Teskey",43,blues,2020-2024
,Stormy Monday Blues,NOW Blues Classics,2020,T-Bone Walker,35,blues,2020-2024
,Fever,The Best of Bublé,2024,Michael Bublé,34,blues,2020-2024
,I Can't Stop Loving You,True Genius,2021,Ray Charles,43,blues,2020-2024
,I Met a Man,I Met a Man,2024,Matt McClure,48,blues,2020-2024
,Sad Love Blues,Sad Love Blues,2022,OdinMann,41,blues,2020-2024
,Chocolate Samurai,Have You Lost Your Mind yet?,2020,Fantastic Negrito,33,blues,2020-2024
,Blues For You,Back to the Blues,2024,Dimitris Loizos,41,blues,2020-2024
,I'll Play the Blues for You,I'll Play the Blues for You,2022,"Daniel Castro, Flavio Motta",43,blues,2020-2024
,Will I See You Again - Radio Edit,Will I See You Again,2022,Mica Millar,37,blues,2020-2024
,Anyway,Carbrook,2024,"Archie Baker, Courtney Wilson",37,blues,2020-2024
,Phaedra,New Blood,2021,Lena Morris,33,blues,2020-2024
,Maggot Brain Cover,Maggot Brain Cover,2024,Dimitris Loizos,42,blues,2020-2024
,In My Blood,Resurrection,2021,Mike Zito,36,blues,2020-2024
,When It Gets Dark,When It Gets Dark,2024,Bryan Elijah Smith,51,blues,2020-2024
,Always Free,Love Transcends,2021,Jackie Venson,40,blues,2020-2024
,That's What You Do,662,2021,"Christone ""Kingfish"" Ingram",43,blues,2020-2024
,I Want To Go Back Home,Tommy Castro Presents A Bluesman Came To Town,2021,Tommy Castro,37,blues,2020-2024
,Feeling Good,Feeling Good: Her Greatest Hits And Remixes,2022,Nina Simone,42,blues,2020-2024
,Holy Ghost Fire,Self Made Man,2020,Larkin Poe,36,blues,2020-2024
,You Make a Home,You Make a Home,2024,Adam Knight,40,blues,2020-2024
,Broken & Blue,Real Gone,2023,"Ally Venable, Joe Bonamassa",41,blues,2020-2024
,I'm Not the One,Brothers (Deluxe Remastered Anniversary Edition),2020,The Black Keys,38,blues,2020-2024
,Killing Floor feat. Brian Johnson,Orgy of the Damned,2024,"Slash, Brian Johnson",41,blues,2020-2024
,Smoking Gun,Smoking Gun (Sped Up),2023,Robert Cray,45,blues,2020-2024
,Amsterdamn Bluezs,Meervaart Studio Vol. 2,2022,Dali,38,blues,2020-2024
,Changing Suits,Come Up Kid,2024,Jax Hollow,42,blues,2020-2024
,Oh Well feat. Chris Stapleton,Orgy of the Damned,2024,"Slash, Chris Stapleton",48,blues,2020-2024
,Blues On The Bay,A Savage Life,2022,Dom Martin,42,blues,2020-2024
,Sharecropper’s Son,Sharecropper's Son,2021,Robert Finley,36,blues,2020-2024
,Never Gonna Give You Up,Brothers (Deluxe Remastered Anniversary Edition),2020,The Black Keys,40,blues,2020-2024
,Completely Naked For You,Striptease Music,2024,Nectar & Nymphs,43,blues,2020-2024
,La Grange,RAW (‘That Little Ol' Band From Texas’ Original Soundtrack),2022,ZZ Top,45,blues,2020-2024
,Rock Me Baby,RTL & BD Music Present B.B. King,2022,B.B. King,32,blues,2020-2024
,Black Magic Woman,Black Magic Woman,2023,Joe Robinson,37,blues,2020-2024
,Written All over My Heart,Written All over My Heart,2022,Paul Caldwell,31,blues,2020-2024
,I Put A Spell On You,I Put A Spell On You,2024,Samantha Fish,41,blues,2020-2024
,You Still Got Me,You Still Got Me,2024,Beth Hart,40,blues,2020-2024
,Sinnerman,Feeling Good: Her Greatest Hits And Remixes,2022,Nina Simone,35,blues,2020-2024
,Feel The Same,Same Moon,2023,The Alex Lucero Band,46,blues,2020-2024
,I Want My Crown,Crown,2022,"Eric Gales, Joe Bonamassa",39,blues,2020-2024
,Blues Is My Best Friend,Real Gone,2023,Ally Venable,40,blues,2020-2024
,Good Ol' Loving,Good Ol' Loving,2022,Marlon Pichel,32,blues,2020-2024
,Lois Lang,Beautiful Dreams,2023,Acantha Lang,33,blues,2020-2024
,Get You There,The Last Resort,2022,7Horse,45,blues,2020-2024
,Sugar and Spice,Sugar and Spice,2021,Jocelyn & Chris Arndt,43,blues,2020-2024
,Backlash Blues (Live – Montreux Jazz Festival 1976),Nina Simone: The Montreux Years (Live),2021,Nina Simone,37,blues,2020-2024
