track_id,track,album,release_year,artists,popularity,genre,year_range
,Wishing Well,Wishing Well,2024,Rob Tait,26,blues,2020-2024
,Headphones,Headphones,2024,Tanner Boyle,31,blues,2020-2024
,Makin' Me Live,Catfish Cake,2020,Rob Tognoni,37,blues,2020-2024
,Smoke and Mirrors,Smoke and Mirrors,2022,Eva Carboni,34,blues,2020-2024
,Honey Bee - Acoustic,Plug It In (Acoustic),2023,Mitch Grainger,35,blues,2020-2024
,Texas Louisiana,Real Gone,2023,"Ally Venable, Buddy Guy",34,blues,2020-2024
,Love or Magic,Love / Magic,2022,Shaun Munday,33,blues,2020-2024
,Weight of the World,Soldiers,2024,"Texas Hill, Adam Wakefield",37,blues,2020-2024
,(I Can't Get No) Satisfaction - Alternate Version,(I Can't Get No) Satisfaction [Alternate Version],2020,"Jerry Lee Lewis, Rory Gallagher",30,blues,2020-2024
,Rock & Roll,Rock & Roll,2020,"Christone ""Kingfish"" Ingram",39,blues,2020-2024
,"Whisky, Gin & Wine",The Shadow,2020,Blues Cousins,35,blues,2020-2024
,Junior's Wailing - 21st Century Version,Wailing Again,2022,Steamhammer,35,blues,2020-2024
,Desert Blues,"Guitar Improvisation, Vol. 2",2024,Noah Beatz,35,blues,2020-2024
,Lone Star Blues,Brother Johnny,2022,"Edgar Winter, Keb' Mo'",29,blues,2020-2024
,Come Love,"The Pleasure's All Mine: The Complete Blues, Ballads and Favorites Sessions",2020,Jimmie Vaughan,33,blues,2020-2024
,Don't Lie,Late Night Blues,2023,"Gary Tunes, Eric Blues, Red Whiskey, Ricardo Tunes",39,blues,2020-2024
,Hide Nor Hair,True Genius,2021,Ray Charles,36,blues,2020-2024
,Hit 'Em Back,Hit 'Em Back,2021,"Shemekia Copeland, Kenny Wayne Shepherd, Robert Randolph, Tony Coleman",38,blues,2020-2024
,Runaway Train,Letters from a Black Widow,2024,Judith Hill,31,blues,2020-2024
,The Heart That Never Waits (Live),Tales Of Time (Live),2023,Joe Bonamassa,37,blues,2020-2024
,Don't Bury Our Love,Devil May Care,2022,Tinsley Ellis,34,blues,2020-2024
,Gold,Last Light on the Highway,2020,Robert Jon & the Wreck,33,blues,2020-2024
,People Get Ready,People Get Ready,2021,Joe Robinson,35,blues,2020-2024
,Rolling Stone Blues,Hackney Diamonds,2023,The Rolling Stones,36,blues,2020-2024
,Heartless,Scholl We ?,2021,Couleur d'opium,27,blues,2020-2024
,Never,Never,2022,Luqman Frank,26,blues,2020-2024
,Fever Tree,Ohio Players,2024,The Black Keys,36,blues,2020-2024
,Cool Cat,Cool Cat,2024,Anna Ash,38,blues,2020-2024
,The Way,The Way,2022,Amanda Ventura,36,blues,2020-2024
,Your Heart Is as Black as Night,Signature,2022,Sylvia Brooks,35,blues,2020-2024
,Cheats and Liars,Shining in the Half Light,2022,Elles Bailey,36,blues,2020-2024
,Long Train Runnin' - Live,Live at Teatro Novelas Curitibanas,2020,Milk'n Blues,33,blues,2020-2024
,Everything And Everyone,Ice Cream In Hell,2020,Tinsley Ellis,33,blues,2020-2024
,Moving Along,Moving Along,2024,Lions in the Street,31,blues,2020-2024
,The Rain,Same Moon,2023,The Alex Lucero Band,36,blues,2020-2024
,Liar,Liar,2023,Sons Of Atticus,38,blues,2020-2024
,"33, Single & Broke","33, Single & Broke",2022,Teresa Bergman,26,blues,2020-2024
,All Gone Wrong,Ain't Done Yet,2020,Savoy Brown,29,blues,2020-2024
,Money Makes You Ugly,Uncivil War,2020,Shemekia Copeland,32,blues,2020-2024
,Bloodshot Eyes,Blood on My Hands,2023,"Emanuel Casablanca, Albert Castiglia",35,blues,2020-2024
,Blues-a-fied,High Voltage Blues,2022,Anthony Gomes,37,blues,2020-2024
,Round Here,Round Here,2024,Blackwater Bayou,37,blues,2020-2024
,Morning blues,Morning blues,2024,Lastri ndagel,35,blues,2020-2024
,Steal Your Heart,The Karma Effect,2022,The Karma Effect,36,blues,2020-2024
,Riot in Cell Block Number Nine,Everybody Needs Somebody to Love,2022,Heaven is Shining,23,blues,2020-2024
,Heal Me,Heal Me,2024,Argyle,39,blues,2020-2024
,Hold Me,Soulify,2022,"Stef Rosen, The Fuzznotes",26,blues,2020-2024
,All Night Long,Whiskey Blues,2023,"Gary Tunes, Eric Blues, Red Whiskey, Ricardo Tunes",37,blues,2020-2024
,How High,Play Loud,2021,The Record Company,39,blues,2020-2024
,Mississippi,Plug It In,2023,Mitch Grainger,34,blues,2020-2024
,Lovin' on Ya,A Place to Stay,2023,Ivan Hartle,36,blues,2020-2024
,Prisoner (Live At The Hollywood Bowl With Orchestra),Live At The Hollywood Bowl With Orchestra,2024,Joe Bonamassa,38,blues,2020-2024
,The Point,Unbreakable,2022,Chadwick Johnson,26,blues,2020-2024
,Holding Back,Destination Unknown,2022,Laurence Jones,36,blues,2020-2024
,The Gypsy Woman Told Me,The Gypsy Woman Told Me,2020,"John Primer, Bob Corritore",30,blues,2020-2024
,Wallflower,Wallflower,2023,Re:um,38,blues,2020-2024
,Fault Line,You Don't Know Me,2023,HeavyDrunk,34,blues,2020-2024
,Your Love's Like Heroin,Ice Cream In Hell,2020,Tinsley Ellis,35,blues,2020-2024
,I Want You - Remastered,Giving You Do-Wop! (Remastered),2021,The Cadets,29,blues,2020-2024
,Pompous Fool,Meanwhile,2024,Eric Clapton,34,blues,2020-2024
,Albion,Crooked Hill,2021,Cam Cole,43,blues,2020-2024
,Since I Been Loving You,Grandview Drive,2020,Eric Steckel,37,blues,2020-2024
,Waiting For Change,From The Start,2024,Marcus Trummer,33,blues,2020-2024
,Fool (Live),Fool (Live),2023,Laura Evans,34,blues,2020-2024
,Cry,High Time,2023,Jay Howie,35,blues,2020-2024
,Back Into The Rain,Back Into The Rain,2024,Rebel Road,35,blues,2020-2024
,Moonhangin Man,Moonhangin Man,2022,Guus,25,blues,2020-2024
,Damn Shame,part 2,2024,Nathan Bess,50,blues,2020-2024
,Spin Me Round,Spin Me Round,2022,"Augie Bello, Casey Abrams",41,blues,2020-2024
,You Fool No One,Covers & Rarities,2021,"The Temperance Movement, Ian Paice",32,blues,2020-2024
,Ain't No Fool,Late Night Blues,2023,"Gary Tunes, Eric Blues, Red Whiskey, Ricardo Tunes",38,blues,2020-2024
,Long Time Ago,Long Time Ago,2024,Dimitris Loizos,34,blues,2020-2024
,Eyes Wide Open,Rebel,2024,Rob Tognoni,34,blues,2020-2024
,Calling On You,Calling On You,2024,Gumbo Kings,26,blues,2020-2024
,Faster,Faster,2021,Samantha Fish,34,blues,2020-2024
,Sweet Feeling,Shadow,2024,Lizz Wright,32,blues,2020-2024
,Long Distance Woman,662,2021,"Christone ""Kingfish"" Ingram",38,blues,2020-2024
,Where You Been,Mirrors,2023,Matthew Scott,38,blues,2020-2024
,I'm so Happy I Cry,Have You Lost Your Mind yet?,2020,"Fantastic Negrito, Tank and The Bangas, Tarriona 'Tank' Ball",29,blues,2020-2024
,All My Life,The Invisible Man,2024,Davy Knowles,34,blues,2020-2024
,Crazy Girl,Dark Songs,2020,Steinar Ytrehus,32,blues,2020-2024
,Best Of Times,Best Of Times,2023,Kenny Wayne Shepherd,37,blues,2020-2024
,Dancing Girl,Stomping Ground,2021,"Dion, Mark Knopfler",32,blues,2020-2024
,Young Man’s Dream,El Dorado,2020,Marcus King,40,blues,2020-2024
,No Good,No Good,2023,Chase Walker Band,38,blues,2020-2024
,This Man,That's What I Heard,2020,Robert Cray,37,blues,2020-2024
,"Afraid to Die,Too Scared to Live",Heartache by the Pound,2022,Kirk Fletcher,33,blues,2020-2024
,Taking Me Higher,Taking Me Higher,2023,Keb' Mo',34,blues,2020-2024
,Split,A Place to Stay,2023,Ivan Hartle,34,blues,2020-2024
,Always Free (Live in Austin),Love Transcends (Live in Austin),2022,Jackie Venson,35,blues,2020-2024
,Candy and Her Friends (feat. Lil Noid),Ohio Players (Trophy Edition),2024,"The Black Keys, Lil Noid",32,blues,2020-2024
,Hope in Hell,Look Alive,2021,Black Pistol Fire,39,blues,2020-2024
,Clotilda's On Fire,Uncivil War,2020,Shemekia Copeland,29,blues,2020-2024
,Exquisite Blues in the Endless Night,Vintage Swing Guitar Jazz - Timeless Melodies Rhythmic Grooves,2024,Chilled Blues,36,blues,2020-2024
,The Go Getter,Brothers (Deluxe Remastered Anniversary Edition),2020,The Black Keys,33,blues,2020-2024
,California Loner,California Loner / Runaway From You,2024,Fantastic Negrito,29,blues,2020-2024
,Step In,I Be Trying,2021,Cedric Burnside,37,blues,2020-2024
,Every Time You Leave,Ohio Players,2024,The Black Keys,35,blues,2020-2024
,You'll Pay,Ohio Players,2024,The Black Keys,34,blues,2020-2024
,We Wanna Boogie - Remastered 2022,Sun Records Originals: We Wanna Boogie,2023,Sonny Burgess,31,blues,2020-2024
,See You Again,Restless,2024,The Commoners,35,blues,2020-2024
,Set Sail part I (featuring Lamar Williams Jr.),Set Sail,2022,"North Mississippi Allstars, Lamar Williams Jr.",34,blues,2020-2024
,Bird in the Hand,DARKFIGHTER,2023,Rival Sons,32,blues,2020-2024
,Won't Get Any Better,Blue River Rising,2021,Michael van Merwyk,35,blues,2020-2024
,Don't Tell Me No Lies,Old Habits,2022,The Deadbeat Cousins,41,blues,2020-2024
,Heartbreak Hotel,Heartbreak Hotel,2021,Karen Souza,23,blues,2020-2024
,Spiraling Down,Spiraling Down,2024,Joe Jordan,55,blues,2020-2024
,Read Em And Weep,Ohio Players,2024,The Black Keys,34,blues,2020-2024
,Ain't Here for Your Pleasure,How the Mighty Fall,2020,Izo FitzRoy,32,blues,2020-2024
,Room of Dreams,Solitary Traveller,2024,John Haydock,32,blues,2020-2024
,Put Your Money On Me,Put Your Money On Me,2024,The Answer,29,blues,2020-2024
,Cry to Me - Remastered,Cry to Me (Remastered),2020,Solomon Burke,29,blues,2020-2024
,7 O'Clock - 30th Anniversary Version,7 O'Clock (30th Anniversary Version),2021,The Quireboys,33,blues,2020-2024
,4th Street Alley,Home Sweet Home,2023,Joe Flip,35,blues,2020-2024
,New Set of Rays,Catfish Cake,2020,Rob Tognoni,34,blues,2020-2024
,Dipped In Bleach - Stripped Back,stripped back,2022,Liam St. John,49,blues,2020-2024
,The Shadow,The Shadow,2020,Blues Cousins,34,blues,2020-2024
,Shake It Up - Acoustic,Plug It In (Acoustic),2023,Mitch Grainger,34,blues,2020-2024
,I'm Gonna Move To The Outskirts Of Town - Remastered 2024,In Session (Deluxe Edition / Remastered 2024),2024,"Albert King, Stevie Ray Vaughan",36,blues,2020-2024
,Drifting (feat. Marcus King),Naked,2024,"Alain Apaloo, Marcus King",34,blues,2020-2024
,Rest them Old Bones,Mirrors,2023,Matthew Scott,37,blues,2020-2024
,The Last Time,Saturday Night,2024,The Vintage Explosion,38,blues,2020-2024
,Hit The Road Jack (1960 Recording Remastered),Six Of The Best - Soul,2021,Ray Charles,35,blues,2020-2024
,The Magic,The Magic,2023,Eva Carboni,32,blues,2020-2024
,Little By Little,Just Won't Burn (25th Anniversary Deluxe Edition),2023,Susan Tedeschi,37,blues,2020-2024
,Crawling Kingsnake,Crawling Kingsnake,2021,The Black Keys,33,blues,2020-2024
,Jordan,Jordan,2024,"Elles Bailey, Redtenbacher's Funkestra",34,blues,2020-2024
,California Loner,Son of a Broken Man,2024,Fantastic Negrito,26,blues,2020-2024
,Your Team Is Looking Good,Dropout Boogie,2022,The Black Keys,36,blues,2020-2024
,Carry My Name,Time Is A Thief,2024,Marc Broussard,31,blues,2020-2024
,Sometimes I Love You,"The Amogla Sessions, Vol. 1",2022,Floyd Lee & His Mean Blues Band,34,blues,2020-2024
,Is It You,Is It You,2024,Bryan Elijah Smith,41,blues,2020-2024
,Looking for a Fight,The Southern,2024,The Cold Stares,35,blues,2020-2024
,Hey Bartender,Marshall Texas Is My Home,2021,Floyd Dixon,29,blues,2020-2024
,Run From Love,Let's Waste Some Time,2023,"Gary Tunes, Eric Blues, Red Whiskey",35,blues,2020-2024
,Still Rockin',Still Rockin',2020,Delbert McClinton,33,blues,2020-2024
,KILLING ME,EFECTO MARIPOSA,2024,Møndlicht,36,blues,2020-2024
,Undertow,The Deep and the Dirty,2023,Eric Johanson,35,blues,2020-2024
,Coming for You,Unreleased,2020,Oli Brown,34,blues,2020-2024
,Voodoo Woman - Album Outtake,Just Won't Burn (25th Anniversary Deluxe Edition),2023,Susan Tedeschi,37,blues,2020-2024
,Gypsy Queen - Live,LIVE with LOOPER No.1,2023,Markus K.,33,blues,2020-2024
,Call My Name (Extended Mix),Call My Name (Extended Mix),2022,"Eva Carboni, Mick Simpson",32,blues,2020-2024
,Cissy Strut,Soundchecks and Tape Decks,2024,Rosie & the Revival,35,blues,2020-2024
,Sweet Mariona,El Dorado,2020,Marcus King,44,blues,2020-2024
,Slow Sunday June,If These Walls Could Talk,2022,"Luke Winslow-King, The Sensational Barnes Brothers",33,blues,2020-2024
,She’s On Fire,Hardware,2021,Billy F Gibbons,32,blues,2020-2024
,Smooth Blues,Smooth Blues Music: Whiskey Blues,2024,Chilled Blues,37,blues,2020-2024
,Blind Without You,The Winding Way,2023,The Teskey Brothers,31,blues,2020-2024
,She's A Self Made Man,Self Made Man,2020,Larkin Poe,30,blues,2020-2024
,Heart of a Child,Meanwhile,2024,Eric Clapton,32,blues,2020-2024
,Same Old Blues,Grandview Drive,2020,Eric Steckel,34,blues,2020-2024
,I Forgot To Be Your Lover,Ohio Players (Trophy Edition),2024,The Black Keys,31,blues,2020-2024
,Please Me (Till I’m Satisfied),Ohio Players,2024,The Black Keys,33,blues,2020-2024
,Why I Sing The Blues,Back to the Blues,2024,Dimitris Loizos,34,blues,2020-2024
,Barefoot In Heaven,Done Come Too Far,2022,Shemekia Copeland,32,blues,2020-2024
,Drunk on Your Love,Drifter,2024,Jovin Webb,33,blues,2020-2024
,Love & Devotion,You Don't Know Me,2023,HeavyDrunk,33,blues,2020-2024
,"Oceans Of Emotions - The Circle Session, 2023",The Circle Session,2024,The Teskey Brothers,28,blues,2020-2024
,Shout Into The Noise,Shout Into The Noise,2022,Ash Grunwald,42,blues,2020-2024
,Accept My Love,Blues In My DNA,2024,Ronnie Baker Brooks,33,blues,2020-2024
,Can't Take No More (feat. Marcus King),The Sun is Shining Down,2022,"John Mayall, Marcus King",31,blues,2020-2024
,Someone In This Room (feat. Bailey Zimmerman),That Ain't No Man That's The Devil,2024,"Jessie Murph, Bailey Zimmerman",61,blues,2020-2024
,Stay All Night,Delta Kream,2021,The Black Keys,37,blues,2020-2024
,Juke Joint,Hill Country Love,2024,Cedric Burnside,35,blues,2020-2024
,Breaking Up,Whiskey Blues | Best of Slow Blues/Rock,2021,BluesBiz,36,blues,2020-2024
,The Hill,The Hill,2023,Elvett,38,blues,2020-2024
,Devil Teasin' Me,Restless,2024,The Commoners,33,blues,2020-2024
,Home Sweet Home,Home Sweet Home,2023,"Joe Flip, Swanny Rose",36,blues,2020-2024
,Better Times Are Comin',Got No More Time,2023,"Lost in Blues, Sime Tunes, Blues Whiskey, Night Tunes",37,blues,2020-2024
,Good Timin',Keepin On,2023,"Lost in Blues, Sime Tunes, Blues Whiskey, Night Tunes",36,blues,2020-2024
,Coal Black Mattie,Delta Kream,2021,The Black Keys,36,blues,2020-2024
,Keep My Name Outta Your Mouth,Brothers (Deluxe Remastered Anniversary Edition),2020,The Black Keys,31,blues,2020-2024
,Help Me Find My Drawls,Help Me Find My Drawls,2024,Tonio Armani,53,blues,2020-2024
,Romely,Romely,2024,PAPA | PEET,36,blues,2020-2024
,You Got It (And I Need It),Black Bayou,2023,Robert Finley,29,blues,2020-2024
,Stackin’ Bones,Hardware,2021,"Billy F Gibbons, Larkin Poe",33,blues,2020-2024
,Lady Love Divine,Lady Love Divine,2023,Philip Sayce,35,blues,2020-2024
,Chills and Thrills (feat. Mike Campbell),Chills and Thrills (feat. Mike Campbell),2021,"John Mayall, Mike Campbell",33,blues,2020-2024
,Crossroads feat. Gary Clark Jr.,Orgy of the Damned,2024,"Slash, Gary Clark Jr.",35,blues,2020-2024
,Boogie Woogie Queen,Boogie Woogie Queen (LenneBrothers Band sings the Best of The Lennerockers),2022,LenneBrothers Band,34,blues,2020-2024
,Louise,Delta Kream,2021,The Black Keys,36,blues,2020-2024
,Bad News,Ace Monroe,2023,Ace Monroe,35,blues,2020-2024
,You Still Got Me - Edit,You Still Got Me,2024,Beth Hart,33,blues,2020-2024
,The Game,Shining in the Half Light,2022,Elles Bailey,34,blues,2020-2024
,One Step Forward,Love Transcends,2021,Jackie Venson,31,blues,2020-2024
,Woman,Bad Luck & The Blues,2023,Laurence Jones,33,blues,2020-2024
,When Will I Let Her Go,S.O.S. 4: Blues For Your Soul,2023,"Marc Broussard, Joe Bonamassa",34,blues,2020-2024
,Our Time In The Sun,Our Time In The Sun,2024,Jeremie Albino,32,blues,2020-2024
,I Believe I Got Off Cheap,Raisin' Cain,2021,Chris Cain,34,blues,2020-2024
,Five Dollars,Five Dollars,2020,Black Joe Lewis & The Honeybears,35,blues,2020-2024
,Low Down Dog,Push The Blues Away,2020,"Ash Grunwald, Josh Teskey",32,blues,2020-2024
,Whiskey Blues - Alcoholic music,Vintage Swing Guitar Jazz - Timeless Melodies Rhythmic Grooves,2024,Chilled Blues,35,blues,2020-2024
,Black Gold,Force of Nature,2024,These Wicked Rivers,33,blues,2020-2024
