track_id,track,album,release_year,artists,popularity,genre,year_range
,Two Faced,Two Faced,2024,Linkin Park,62,metal,2020-2024
,I Don't Know,Blizzard Of Ozz (40th Anniversary Expanded Edition),2020,Ozzy Osbourne,63,metal,2020-2024
,Suicide Solution,Blizzard Of Ozz (40th Anniversary Expanded Edition),2020,Ozzy Osbourne,63,metal,2020-2024
,Glitch,Darker Still,2022,Parkway Drive,60,metal,2020-2024
,Fed Up,ANTI-ICON,2020,Ghostemane,65,metal,2020-2024
,The Writing on the Wall,Senjutsu,2021,Iron Maiden,55,metal,2020-2024
,Zick Zack,Zeit,2022,Rammstein,61,metal,2020-2024
,Ronald,Ronald,2024,"Falling In Reverse, Tech N9ne, Alex Terrible",62,metal,2020-2024
,Darkness At The Heart Of My Love,IMPERA,2022,Ghost,63,metal,2020-2024
,Soldier of Heaven,The War to End All Wars,2022,Sabaton,62,metal,2020-2024
,Mea Culpa (Ah! Ça ira!),Mea Culpa (Ah! Ça ira!),2024,"Gojira, Marina Viotti, Victor Le Masne",61,metal,2020-2024
,One Night In Tokyo,Dark Connection,2021,Beast In Black,58,metal,2020-2024
,Hypnosis,This Place Will Become Your Tomb,2021,Sleep Token,67,metal,2020-2024
,Zeit,Zeit,2022,Rammstein,61,metal,2020-2024
,ANYTHING > HUMAN,CONCRETE JUNGLE [THE OST],2024,"Bad Omens, ERRA",63,metal,2020-2024
,Giftig,Zeit,2022,Rammstein,61,metal,2020-2024
,Misery,Remade In Misery,2022,Memphis May Fire,64,metal,2020-2024
,Glass Heart,Lost Souls,2021,Caskets,64,metal,2020-2024
,CODE MISTAKE,CODE MISTAKE,2023,"CORPSE, Bring Me The Horizon",64,metal,2020-2024
,Protect The Land,Protect The Land / Genocidal Humanoidz,2020,System Of A Down,60,metal,2020-2024
,Heartless Madness,The Dark Delight,2020,Dynazty,60,metal,2020-2024
,72 Seasons,72 Seasons,2023,Metallica,55,metal,2020-2024
,n/A,POST HUMAN: NeX GEn,2024,Bring Me The Horizon,62,metal,2020-2024
,Holier Than Thou - Remastered 2021,Metallica (Remastered 2021),2021,Metallica,57,metal,2020-2024
,Without Me,Dark Sun,2022,Dayseeker,66,metal,2020-2024
,Never Know,Finding God Before God Finds Me (Deluxe),2020,Bad Omens,64,metal,2020-2024
,The Dying Song (Time To Sing),"The End, So Far",2022,Slipknot,61,metal,2020-2024
,Best Time,Helloween,2021,Helloween,48,metal,2020-2024
,Voices In My Head,Voices In My Head,2022,Falling In Reverse,63,metal,2020-2024
,Over Each Other,Over Each Other,2024,Linkin Park,59,metal,2020-2024
,The Dirt I'm Buried In,Dance Devil Dance,2023,Avatar,58,metal,2020-2024
,Of Wolf and Man - Remastered 2021,Metallica (Remastered 2021),2021,Metallica,57,metal,2020-2024
,Through the Never - Remastered 2021,Metallica (Remastered 2021),2021,Metallica,56,metal,2020-2024
,Out Of Control,The Reason (20th Anniversary),2024,Hoobastank,61,metal,2020-2024
,YOUtopia,POST HUMAN: NeX GEn,2024,Bring Me The Horizon,61,metal,2020-2024
,Amazonia,Fortitude,2021,Gojira,59,metal,2020-2024
,Hellraiser - 30th Anniversary Edition,No More Tears (30th Anniversary Expanded Edition),2021,"Ozzy Osbourne, Lemmy, Motörhead",59,metal,2020-2024
,Awaken,Awaken,2024,Breaking Benjamin,66,metal,2020-2024
,Memento Mori,Lamb of God,2020,Lamb of God,57,metal,2020-2024
