track_id,track,album,release_year,artists,popularity,genre,year_range
,Lost Chapter,III: Lost Chapter,2021,"Pentakill, Jorn",49,metal,2020-2024
,Too Far Gone?,72 Seasons,2023,Metallica,49,metal,2020-2024
,All That I Can Give,Vol. 2,2024,The Plot In You,59,metal,2020-2024
,The Other Son of Odin,Fimbulvinter,2024,Brothers of Metal,50,metal,2020-2024
,Hey You,Divisive,2023,Disturbed,55,metal,2020-2024
,Respite On The Spitalfields,IMPERA,2022,Ghost,54,metal,2020-2024
,Theory of Mind,Exhibition Of Prowess,2024,Kublai Khan TX,57,metal,2020-2024
,"The Sick, The Dying… And The Dead!","The Sick, The Dying… And The Dead!",2022,Megadeth,49,metal,2020-2024
,KILL ALL,KILL ALL,2022,"ZODIVK, Kill Dyll, Phonk King",52,metal,2020-2024
,Suffocate,Lost in the Waves (The Complete Edition),2022,"LANDMVRKS, Chunk! No, Captain Chunk!",57,metal,2020-2024
,Descending,This Place Will Become Your Tomb,2021,Sleep Token,60,metal,2020-2024
,1916,Stories From The Western Front,2023,Sabaton,54,metal,2020-2024
,VIKING,VIKING,2023,Slaughter to Prevail,55,metal,2020-2024
,I'll Be Your Hero - Single Edit,I'll Be Your Hero,2021,Rhapsody Of Fire,45,metal,2020-2024
,Dragostea Din Tei,Memento Mori (Deluxe Version),2021,Feuerschwanz,49,metal,2020-2024
,Sad But True - Remastered 2021,Metallica (Remastered 2021),2021,Metallica,50,metal,2020-2024
,House of Mirrors,Deceivers,2022,Arch Enemy,49,metal,2020-2024
,Watcher In The Sky,IMPERA,2022,Ghost,54,metal,2020-2024
,Steel Commanders,Steel Commanders,2021,"Sabaton, Tina Guo",53,metal,2020-2024
,World on Fire,Survive,2022,Stratovarius,44,metal,2020-2024
,#ImSippinTeaInYoHood,LOOK AT ME: THE ALBUM,2022,XXXTENTACION,59,metal,2020-2024
,Last Resort - 2020,20/20,2020,Papa Roach,51,metal,2020-2024
,Novocaine,For Keeps,2024,"Too Close To Touch, Bad Omens",54,metal,2020-2024
,Full Circle,F8,2020,Five Finger Death Punch,56,metal,2020-2024
,iCARUS,iCARUS,2022,HAARPER,61,metal,2020-2024
,Floods of Triton,Floods of Triton,2024,"Mastodon, Lamb of God",51,metal,2020-2024
,Bodybag,What If I Break?,2023,Wind Walkers,61,metal,2020-2024
,Masochist,The Death of Me,2020,Polaris,56,metal,2020-2024
,Ceremony,Ohms,2020,Deftones,58,metal,2020-2024
,Somebody else.,THE DEATH OF PEACE OF MIND,2022,Bad Omens,55,metal,2020-2024
,One Day The Only Butterflies Left Will Be In Your Chest As You March Towards Your Death (feat. Amy Lee),POST HUMAN: SURVIVAL HORROR,2020,"Bring Me The Horizon, Amy Lee",54,metal,2020-2024
,HEDONIST [RECHARGED],CONCRETE JUNGLE [THE OST],2024,"Bad Omens, WARGASM (UK)",52,metal,2020-2024
,Supreme Ruler,Exhibition Of Prowess,2024,Kublai Khan TX,58,metal,2020-2024
,Hell On Earth,Senjutsu,2021,Iron Maiden,47,metal,2020-2024
,Soft Spine,Soft Spine,2024,Spiritbox,56,metal,2020-2024
,Kill the Ache,The Way It Ends,2020,Currents,58,metal,2020-2024
,Obey (with YUNGBLUD),Obey (with YUNGBLUD),2020,"Bring Me The Horizon, YUNGBLUD",53,metal,2020-2024
,Kaufmann und Maid,Kaufmann und Maid,2020,"Saltatio Mortis, Sasha, Feuerschwanz, Subway To Sally, Tanzwut, Schandmaul, dArtagnan, Patty Gurdy",52,metal,2020-2024
,2077,2077,2022,do not resurrect,58,metal,2020-2024
,Erase Me,How To Survive A Funeral,2020,Make Them Suffer,57,metal,2020-2024
,Adderall,"The End, So Far",2022,Slipknot,52,metal,2020-2024
,Our Time Is Now,Our Time Is Now,2022,Gojira,51,metal,2020-2024
,Kid Of Darkness,Kid Of Darkness,2024,Slaughter to Prevail,53,metal,2020-2024
,EVEN,CONCRETE JUNGLE [THE OST],2024,Bad Omens,53,metal,2020-2024
,Battling My Demons,Battling My Demons,2024,"Jeris Johnson, BOI WHAT",57,metal,2020-2024
,Mindreader,You're Welcome,2021,A Day To Remember,57,metal,2020-2024
,In The Dark,Foregone,2023,In Flames,49,metal,2020-2024
,Hate & 808s - DIRTY SOUTH VERSION,Hate & 808s (DIRTY SOUTH VERSION),2024,"fiftyfive, Odiato, Dubich",59,metal,2020-2024
,High Water,This Place Will Become Your Tomb,2021,Sleep Token,60,metal,2020-2024
,The Best Is yet to Come,Too Mean to Die,2021,Accept,47,metal,2020-2024
,Parasite (feat. Zakk Wylde),Patient Number 9,2022,"Ozzy Osbourne, Zakk Wylde",53,metal,2020-2024
,Come Undone,Finding God Before God Finds Me (Deluxe),2020,Bad Omens,54,metal,2020-2024
,Funeral Derangements,Welcome To Horrorwood: The Silver Scream 2,2021,Ice Nine Kills,58,metal,2020-2024
,Hive Mind,"The End, So Far",2022,Slipknot,52,metal,2020-2024
,Golden,Darkbloom,2022,We Came As Romans,56,metal,2020-2024
,Circle The Drain,Circle The Drain,2020,Machine Head,51,metal,2020-2024
,Spare Me,Vol. 3,2024,The Plot In You,59,metal,2020-2024
,Together We Rise,Warfront,2022,Wind Rose,49,metal,2020-2024
,Perfume Of The Timeless,Yesterwynde,2024,Nightwish,49,metal,2020-2024
,Pizza Homicide,You're Hellcome,2023,"Samurai Pizza Cats, Nico Sallach, Electric Callboy",51,metal,2020-2024
,Missing Limbs,This Place Will Become Your Tomb,2021,Sleep Token,60,metal,2020-2024
,MISS ME?,PSYCHX,2022,"Kordhell, Scarlxrd",52,metal,2020-2024
,MK Plus Ultra,MK Plus Ultra,2023,do not resurrect,59,metal,2020-2024
,Calamity,Calamity,2023,Annisokay,53,metal,2020-2024
,The Skeleton Key,Omega,2021,Epica,48,metal,2020-2024
,Feeding the Gods,What If I Break?,2023,Wind Walkers,59,metal,2020-2024
,Numb,Meteora 20th Anniversary Edition,2023,Linkin Park,51,metal,2020-2024
,The Greatest Fear,Darker Still,2022,Parkway Drive,49,metal,2020-2024
,Set You Free,Doom Crew Inc.,2021,Black Label Society,47,metal,2020-2024
,Where Angels Fear to Fly,Circus Of Doom,2022,Battle Beast,47,metal,2020-2024
,Keeper of the Celestial Flame of Abernethy,Return to the Kingdom of Fife,2023,Gloryhammer,48,metal,2020-2024
,Giving Blood,For Those That Wish To Exist,2021,Architects,51,metal,2020-2024
,The Wheel,New World,2022,Imperial Age,45,metal,2020-2024
,MAD (feat. Ice Nine Kills),MAD (feat. Ice Nine Kills),2024,"TX2, Ice Nine Kills",58,metal,2020-2024
,Blessed Be,Blessed Be,2020,Spiritbox,57,metal,2020-2024
,Brothers Unite,Emblas Saga,2020,Brothers of Metal,50,metal,2020-2024
,Straight to Hell,Ordinary Man,2020,Ozzy Osbourne,54,metal,2020-2024
,Telomeres,This Place Will Become Your Tomb,2021,Sleep Token,59,metal,2020-2024
,Explode,Explode,2020,"REDZED, ELIOZIE",57,metal,2020-2024
,AfterLife,AfterLife,2022,Five Finger Death Punch,55,metal,2020-2024
,guilt,EXCESSIVE GUILT,2024,thrown,56,metal,2020-2024
,Pain Remains III: In a Sea of Fire,Pain Remains,2022,Lorna Shore,56,metal,2020-2024
,Breaking the Mirror,The Path,2020,Fit For A King,55,metal,2020-2024
,Tempest Of Blades,Circus Of Doom,2022,Battle Beast,45,metal,2020-2024
,FATALITY,FATALITY,2024,Kill Dyll,46,metal,2020-2024
,Nu Delhi,Nu Delhi,2024,Bloodywood,53,metal,2020-2024
,Colossus,Hunter Gatherer,2020,Avatar,45,metal,2020-2024
,666 - World Divided,666 - World Divided,2020,Kreator,45,metal,2020-2024
,1984,1984,2022,Slaughter to Prevail,53,metal,2020-2024
,Steal Away (The Night),Blizzard Of Ozz (40th Anniversary Expanded Edition),2020,Ozzy Osbourne,51,metal,2020-2024
,Zenith,13 Commandments,2023,Ghost,52,metal,2020-2024
,Dee,Blizzard Of Ozz (40th Anniversary Expanded Edition),2020,Ozzy Osbourne,51,metal,2020-2024
,Gaddaar,Rakshak,2022,Bloodywood,51,metal,2020-2024
,The Fight Within,Remade In Misery,2022,Memphis May Fire,54,metal,2020-2024
,Friendly Fire,Papercuts,2024,Linkin Park,50,metal,2020-2024
,Twenties,IMPERA,2022,Ghost,52,metal,2020-2024
,No Funeral Without Applause,One Assassination Under God - Chapter 1,2024,Marilyn Manson,48,metal,2020-2024
,Inamorata,72 Seasons,2023,Metallica,47,metal,2020-2024
,Bleed Me Dry,Remade In Misery,2022,Memphis May Fire,55,metal,2020-2024
,Warranty,"The End, So Far",2022,Slipknot,51,metal,2020-2024
,I FEEL ALIVE,PSYCHX,2022,"Kordhell, Scarlxrd",54,metal,2020-2024
,Heaven Shall Burn,The Black,2024,Imminence,52,metal,2020-2024
,Sleepwalk My Life Away,72 Seasons,2023,Metallica,47,metal,2020-2024
,Father,Weapons Of The Modern Age,2022,Sabaton,53,metal,2020-2024
,The Summoning,The Summoning,2023,Sleep Token,54,metal,2020-2024
,Yakuza,Yakuza,2020,do not resurrect,57,metal,2020-2024
,Obsolete,Echo,2021,Of Mice & Men,55,metal,2020-2024
,Senjutsu,Senjutsu,2021,Iron Maiden,45,metal,2020-2024
,Darkness Settles In,F8,2020,Five Finger Death Punch,57,metal,2020-2024
,Sun//Eater,Pain Remains,2022,Lorna Shore,56,metal,2020-2024
,Hold Me Now,Lost Souls,2021,Caskets,56,metal,2020-2024
,North Star of Nija,Nija,2020,Orbit Culture,53,metal,2020-2024
,Bad Man - Kordhell Remix,Bad Man (Kordhell Remix),2023,"Disturbed, Kordhell",53,metal,2020-2024
,Melancholy Angel,Pirates,2022,Visions of Atlantis,49,metal,2020-2024
,BUSINESS MAN (feat. Juicy J),BUSINESS MAN (feat. Juicy J),2023,"SXMPRA, Juicy J",48,metal,2020-2024
,Distraction,This Place Will Become Your Tomb,2021,Sleep Token,59,metal,2020-2024
,Headless Cross - 2024 Remaster,Headless Cross (2024 Remaster),2024,Black Sabbath,47,metal,2020-2024
,Armageddon,Circus Of Doom,2022,Battle Beast,46,metal,2020-2024
,Ritual,Ritual,2024,The Devil Wears Prada,57,metal,2020-2024
,Damnation Flame,The Catalyst,2024,Amaranthe,48,metal,2020-2024
,We're gonna be drinking (feat. Candice Night & Blackmore's Night),Felsenfest,2022,"dArtagnan, Candice Night, Blackmore's Night",45,metal,2020-2024
,The Gallows,The Gallows,2024,Black Label Society,47,metal,2020-2024
,Phantom Of The Opera,Phantom Of The Opera,2023,Ghost,51,metal,2020-2024
,The Shower Scene,Welcome To Horrorwood: The Silver Scream 2,2021,Ice Nine Kills,58,metal,2020-2024
,Nod If You Understand,One Assassination Under God - Chapter 1,2024,Marilyn Manson,47,metal,2020-2024
,Hellfighters,The War to End All Wars,2022,Sabaton,51,metal,2020-2024
,Nightmare,Blackout,2023,From Ashes to New,55,metal,2020-2024
,The Purge,Wireless,2023,Within Temptation,47,metal,2020-2024
,Drowning Hymns,What If I Break?,2023,Wind Walkers,59,metal,2020-2024
,State of Slow Decay,Foregone,2023,In Flames,49,metal,2020-2024
,Epitaph,Make Them Suffer,2024,Make Them Suffer,53,metal,2020-2024
,Clockwork,Obsidian,2022,Northlane,52,metal,2020-2024
,Make Me Famous,A Gradual Decline In Morale,2023,Kim Dracula,54,metal,2020-2024
,Meet Me In Purgatory,One Assassination Under God - Chapter 1,2024,Marilyn Manson,47,metal,2020-2024
,Army of Stone,Warfront,2022,Wind Rose,47,metal,2020-2024
,Inhumane,Fatalism,2023,Polaris,53,metal,2020-2024
,Blood Of The Elves,The God Machine,2022,Blind Guardian,44,metal,2020-2024
,The Summit,Eternal Blue,2021,Spiritbox,55,metal,2020-2024
,Monsters,The Way It Ends,2020,Currents,57,metal,2020-2024
,Highway To Mars,Dark Connection,2021,Beast In Black,47,metal,2020-2024
,Miracle,Miracle,2022,A Day To Remember,55,metal,2020-2024
,Loneliness,Dehumanizing Loneliness,2023,Decalius,54,metal,2020-2024
,You Must Burn!,72 Seasons,2023,Metallica,47,metal,2020-2024
,Vultures of North,Descent,2023,Orbit Culture,52,metal,2020-2024
,Choke,TRUE POWER,2022,I Prevail,56,metal,2020-2024
,Doom Slayer,Doom Slayer,2023,Alex Terrible,51,metal,2020-2024
,[ost] (spi)ritual,POST HUMAN: NeX GEn,2024,Bring Me The Horizon,52,metal,2020-2024
,Rollin' (Air Raid Vehicle),Rock Party 2021,2021,Limp Bizkit,53,metal,2020-2024
,Body Bag,TRUE POWER,2022,I Prevail,57,metal,2020-2024
,Blinding Ornaments,Technatura,2020,Vulkan,47,metal,2020-2024
,HALF-WAY & ONE STEP FORWARD,WE ARE CHAOS,2020,Marilyn Manson,47,metal,2020-2024
,Carnal Liberation,Dogma,2023,Dogma,46,metal,2020-2024
,Days Of The Lost,Days Of The Lost,2022,The Halo Effect,45,metal,2020-2024
,Revelation (Mother Earth),Blizzard Of Ozz (40th Anniversary Expanded Edition),2020,Ozzy Osbourne,51,metal,2020-2024
,Fear of the Fallen,Helloween,2021,Helloween,38,metal,2020-2024
,Zick Zack,Zick Zack,2022,Rammstein,52,metal,2020-2024
,Menschenmühle,Die Urkatastrophe,2024,Kanonenfieber,50,metal,2020-2024
,Chains of Destiny,Glory for Salvation,2021,Rhapsody Of Fire,42,metal,2020-2024
,Death,Lost in the Waves (The Complete Edition),2022,"LANDMVRKS, DR€W ¥ORK",54,metal,2020-2024
,Chain Breaker,Emblas Saga,2020,Brothers of Metal,48,metal,2020-2024
,More Than I Could Chew,Hushed and Grim,2021,Mastodon,50,metal,2020-2024
,Mosqueteros,Herzblut,2024,"dArtagnan, Mägo de Oz, Rafa Blas",37,metal,2020-2024
,BIRTH OF VENUS,BIRTH OF VENUS,2023,Banshee,56,metal,2020-2024
,Healing Foot,Meteora 20th Anniversary Edition,2023,Linkin Park,50,metal,2020-2024
,The Chant,Fortitude,2021,Gojira,50,metal,2020-2024
,Vaas,Tian,2020,MAKAVELIGODD,61,metal,2020-2024
,No Bone Movies,Blizzard Of Ozz (40th Anniversary Expanded Edition),2020,Ozzy Osbourne,51,metal,2020-2024
,Atonement,Melodies Of Atonement,2024,Leprous,46,metal,2020-2024
,He Has Returned,He Has Returned,2024,Gloryhammer,46,metal,2020-2024
,Vagabond,ANTI-ICON,2020,Ghostemane,53,metal,2020-2024
,Immortal (feat. Mike McCready),Patient Number 9,2022,"Ozzy Osbourne, Mike McCready",50,metal,2020-2024
,Strongest Of The Strong,Hate Über Alles,2022,Kreator,43,metal,2020-2024
,Somewhere I Belong,Meteora 20th Anniversary Edition,2023,Linkin Park,52,metal,2020-2024
,Berzerkermode,Fegefeuer (Deluxe Version),2023,Feuerschwanz,47,metal,2020-2024
,DAYWALKER! (feat. CORPSE),DAYWALKER! (feat. CORPSE),2021,"mgk, CORPSE",57,metal,2020-2024
,Exile Of The Gods,Exile Of The Gods,2022,Eluveitie,46,metal,2020-2024
,Trink mein Freund,Felsenfest,2022,dArtagnan,46,metal,2020-2024
,Somebody,Remade In Misery,2022,Memphis May Fire,56,metal,2020-2024
,Times Like These,AfterLife,2022,Five Finger Death Punch,55,metal,2020-2024
,Right Now,Right Now,2024,Our Mirage,49,metal,2020-2024
,Meth Phonk,Drugs = Magic,2020,REDZED,58,metal,2020-2024
