track,album,release_year,artists,popularity,genre
Every Chance I Get (I Want You In The Flesh),Every Chance I Get (I Want You In The Flesh),2023,Dan Auerbach,44,blues
Everyday I Have the Blues,Four Classic Albums Plus (B.B. King Sings Spirituals / King of the Blues / More B.B. King / Easy Listening Blues) (Digitally Remastered),2020,B.B. King,40,blues
"Jealous Guy - Live at The Forum, Melbourne, Australia / 2019",Live At The Forum,2020,The Teskey Brothers,39,blues
Dead Mans Blues,American Shuffle,2021,Roy Williams,49,blues
Don't Let the Green Grass Fool You,Don't Let the Green Grass Fool You,2020,"Elles Bailey, The Midnight Band",43,blues
Sunday Morning,Full Circle,2021,Jack Biilmann,41,blues
Somebody Gotta Make A Move,Blacktop Run,2020,Sonny Landreth,44,blues
Alter Ego,Surface Sounds,2021,KALEO,48,blues
Outrun,Scores & Melodies Vol. 1,2023,"WEARETHEGOOD, Lynnea",52,blues
Hard Time Letting Go,It's A Long Road,2022,The Meltdown,44,blues
In The Night Time,Heavy Shoes,2021,The Cold Stares,47,blues
Mississippi Phone Booth,Leftover Feelings,2021,"John Hiatt, Jerry Douglas",46,blues
Córdoba Granada,Córdoba Granada,2024,Noah Beatz,45,blues
The Only One,Brothers (Deluxe Remastered Anniversary Edition),2020,The Black Keys,44,blues
Fly Free,Fly Free,2023,"Kajsa Vala, Mike Andersen",44,blues
Sinnerman,Feeling Good: Her Greatest Hits And Remixes,2022,Nina Simone,34,blues
Feeling Good,Feeling Good: Her Greatest Hits And Remixes,2022,Nina Simone,42,blues
When Words Are Not Enough - Studio Version,Back to the Blues,2024,Dimitris Loizos,41,blues
Feel The Same,Same Moon,2023,The Alex Lucero Band,45,blues
Written All over My Heart,Written All over My Heart,2022,Paul Caldwell,31,blues
Somewhere,Tommy Castro Presents A Bluesman Came To Town,2021,Tommy Castro,39,blues
Kiss of Love,Relaxing Blues,2024,Shen Lab,43,blues
Sharecropper’s Son,Sharecropper's Son,2021,Robert Finley,35,blues
I Put A Spell On You,I Put A Spell On You,2024,Samantha Fish,41,blues
Ruby,True Genius,2021,Ray Charles,39,blues
